ToyCar
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6843,0.6631578947368421,0.5,1.0,0.6666666666666666
01,source,0.761,0.6489473684210526,0.5,1.0,0.6666666666666666
02,source,0.7973,0.6057894736842105,0.5,1.0,0.6666666666666666
00,target,0.5412,0.5373684210526316,0.5,1.0,0.6666666666666666
01,target,0.7586999999999999,0.5952631578947368,0.5,1.0,0.6666666666666666
02,target,0.6013999999999999,0.49473684210526314,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6906499999999999,0.5908771929824561,0.5,1.0,0.6666666666666666
harmonic mean,,0.6773371769722321,0.5846951062917434,0.5,1.0,0.6666666666666666

ToyTrain
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.4631,0.5110526315789473,0.5,1.0,0.6666666666666666
01,source,0.6648,0.5689473684210526,0.5,1.0,0.6666666666666666
02,source,0.75,0.47368421052631576,0.5,1.0,0.6666666666666666
00,target,0.436,0.4857894736842105,0.5,1.0,0.6666666666666666
01,target,0.4265,0.4831578947368421,0.5,1.0,0.6666666666666666
02,target,0.6186,0.5952631578947368,0.5,1.0,0.6666666666666666
arithmetic mean,,0.5598333333333333,0.5196491228070176,0.5,1.0,0.6666666666666666
harmonic mean,,0.5332525950874119,0.5157457400635285,0.5,1.0,0.6666666666666666

fan
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5762999999999999,0.5094736842105263,0.5,1.0,0.6666666666666666
01,source,0.8335000000000001,0.7668421052631579,0.5,1.0,0.6666666666666666
02,source,0.8091,0.7536842105263158,0.5,1.0,0.6666666666666666
00,target,0.6424000000000001,0.5342105263157895,0.5,1.0,0.6666666666666666
01,target,0.8090999999999999,0.6947368421052632,0.5,1.0,0.6666666666666666
02,target,0.7656000000000001,0.6752631578947368,0.5,1.0,0.6666666666666666
arithmetic mean,,0.7393333333333333,0.6557017543859649,0.5,1.0,0.6666666666666666
harmonic mean,,0.7255422116110647,0.6392571505275358,0.5,1.0,0.6666666666666666

gearbox
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.8247619047619047,0.7204549836128784,0.35,1.0,0.5185185185185185
01,source,0.721622085048011,0.5972312468413833,0.5,1.0,0.6666666666666666
02,source,0.7143048845947396,0.5974235104669887,0.5609756097560976,1.0,0.71875
00,target,0.8493441358024691,0.7092267706302794,0.5294117647058824,1.0,0.6923076923076924
01,target,0.704389574759945,0.6513789618078117,0.5,1.0,0.6666666666666666
02,target,0.6438095238095238,0.4876775271512114,0.5333333333333333,1.0,0.6956521739130436
arithmetic mean,,0.7430386847960989,0.6272321667517587,0.4956201179658855,1.0,0.6597602863454313
harmonic mean,,0.7363315785739529,0.616523714283898,0.4837289526578246,1.0,0.6520449058991727

pump
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6774,0.65,0.5,1.0,0.6666666666666666
01,source,0.9454,0.8047368421052632,0.5,1.0,0.6666666666666666
02,source,0.6602,0.5868421052631579,0.5,1.0,0.6666666666666666
00,target,0.7291000000000001,0.6357894736842105,0.5,1.0,0.6666666666666666
01,target,0.7397,0.5294736842105263,0.5,1.0,0.6666666666666666
02,target,0.533,0.5236842105263158,0.5,1.0,0.6666666666666666
arithmetic mean,,0.7141333333333334,0.6217543859649123,0.5,1.0,0.6666666666666666
harmonic mean,,0.6937776068628214,0.6087536908462124,0.5,1.0,0.6666666666666666

slider
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.8653,0.7105263157894737,0.5,1.0,0.6666666666666666
01,source,0.8525,0.5994736842105263,0.5,1.0,0.6666666666666666
02,source,0.8315508021390374,0.8100197016605686,0.4811320754716981,1.0,0.6496815286624203
00,target,0.7073,0.5342105263157895,0.5,1.0,0.6666666666666666
01,target,0.5527551020408163,0.50687432867884,0.5050505050505051,1.0,0.6711409395973155
02,target,0.6087081891580162,0.5290272971933871,0.5,1.0,0.6666666666666666
arithmetic mean,,0.736352348889645,0.6150219756414309,0.4976970967537005,1.0,0.6645815224877337
harmonic mean,,0.714538235076016,0.5973041490233171,0.4975771569807148,1.0,0.6645095441811982

valve
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6316999999999999,0.5310526315789473,0.5,1.0,0.6666666666666666
01,source,0.5013,0.5263157894736842,0.5,1.0,0.6666666666666666
02,source,0.5905,0.5326315789473685,0.5,1.0,0.6666666666666666
00,target,0.5448,0.5742105263157895,0.5,1.0,0.6666666666666666
01,target,0.769,0.6478947368421053,0.5,1.0,0.6666666666666666
02,target,0.49150000000000005,0.4978947368421053,0.5,1.0,0.6666666666666666
arithmetic mean,,0.5881333333333334,0.5516666666666666,0.5,1.0,0.6666666666666666
harmonic mean,,0.5746115035067748,0.5477470319231801,0.5,1.0,0.6666666666666666

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.6816391952884394,0.597414752171458,0.4990453163885123,1.0,0.6653821631666429
"harmonic mean over all machine types, sections, and domains",,0.6560934137280072,0.5844000550912478,0.4972646194658283,1.0,0.6642307752429693

